name,"image url",price
"Red Wheel Decal, 19"" Rear",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06LRW-RED.jpg.ashx?mh=171&mw=171,$29.95
"Gray Wheel Decal, 19"" Front",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06LFW-GRY.jpg.ashx?mh=171&mw=171,$29.95
"Gray Wheel Decal, 19"" Rear",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06LRW-GRY.jpg.ashx?mh=171&mw=171,$29.95
"Mirror Extension Spacer Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06LME-010.jpg.ashx?mh=171&mw=171,$14.95
"Vario Touring Windshield",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-1/990D0-11J51-CLE.jpg.ashx?mh=171&mw=171,$159.95
"Mirror Extensions",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-1/990D0-11JME-010.jpg.ashx?mh=171&mw=171,$86.95
"Fuel Cap Decal, Black Grain",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-1/990D0-17K04-BLK.jpg.ashx?mh=171&mw=171,$19.95
"Wide Footrest",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K10.jpg.ashx?mh=171&mw=171,$329.95
"Accessory Bar, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J00-030.jpg.ashx?mh=171&mw=171,$399.95
"Accessory Bar, Silver",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J00-031.jpg.ashx?mh=171&mw=171,$399.95
"Black Aluminum Skid Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J00-040.jpg.ashx?mh=171&mw=171,$299.95
"Black Aluminum Skid Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J00-041.jpg.ashx?mh=171&mw=171,$299.95
"Top Case Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J00-060.jpg.ashx?mh=171&mw=171,$219.95
"Top Case Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J01-060.jpg.ashx?mh=171&mw=171,$229.95
"Side Case Carrier Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J01-065.jpg.ashx?mh=171&mw=171,$499.95
"Frame Protection Decal",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J01-PAD.jpg.ashx?mh=171&mw=171,$19.95
"Tank Pad, Red V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J01-RED.jpg.ashx?mh=171&mw=171,$29.95
"Large Tank Pad Protector, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J02-PAD.jpg.ashx?mh=171&mw=171,$14.95
"Large Tank Pad Protector, Clear",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J03-PAD.jpg.ashx?mh=171&mw=171,$14.95
"Decal Set, Red",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J07-RED.jpg.ashx?mh=171&mw=171,$49.95
"Decal Set, White",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J07-WHT.jpg.ashx?mh=171&mw=171,$49.95
"V-Strom Chain Guard",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J11-ALU.jpg.ashx?mh=171&mw=171,$119.95
"Fog Lamp Shroud Set",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$125.95
